Name,Year,Europe,Nrth America,Middle East,Asia,Sth America
Display,2005,0,0,0,1,0
Enclave,2005,0,0,0,1,0
Domain,2005,0,0,0,1,0
Room,2005,1,0,0,0,0
Core,2005,1,0,0,0,0
Palette,2005,1,0,0,0,0
Queue,2005,1,0,0,0,0
Unit,2005,1,0,0,0,0
Reservoir,2005,0,0,0,1,0
Image,2005,0,0,0,1,0
Regime,2005,0,0,0,1,0
Border,2005,1,0,0,0,0
Storey,2005,1,0,0,0,0
Circle,2006,1,0,0,0,0
Memo,2006,1,0,0,0,0
Contact,2006,1,0,0,0,0
Collage,2006,1,0,0,0,0
Filter,2006,1,0,0,0,0
Corner,2006,0,0,0,1,0
Bloom,2006,0,0,0,1,0
Fringe,2006,0,0,0,1,0
Array,2006,0,0,0,1,0
Cycle,2006,0,0,0,1,0
Interlude,2006,0,0,0,1,0
Studio,2006,0,0,0,1,0
Arcade,2006,0,0,0,1,0
Mirage,2006,0,0,0,1,0
Sector,2006,1,0,0,0,0
Entrance,2006,1,0,0,0,0
Square,2006,1,0,0,0,0
Screen,2006,1,0,0,0,0
Network,2006,1,0,0,0,0
Presence,2006,1,0,0,0,0
Exposure,2007,1,0,0,0,0
Base,2007,0,1,0,0,0
Center,2007,0,1,0,0,0
Access,2007,0,1,0,0,0
Aperture,2007,0,1,0,0,0
Detail,2007,0,1,0,0,0
Dynasty,2007,0,0,0,1,0
Living,2007,0,1,0,0,0
Passage,2007,0,1,0,0,0
Bouquet,2008,0,0,0,1,0
Forum,2008,1,0,0,0,0
House,2008,1,0,0,0,0
Territory,2008,1,0,0,0,0
Labyrinth,2008,0,0,0,1,0
Cluster,2008,0,0,0,1,0
Atmosphere,2008,0,0,0,1,0
Volume,2008,0,1,0,0,0
Support,2008,0,0,0,1,0
Junction,2008,0,1,0,0,0
Spectrum,2008,1,0,0,0,0
Replica,2008,0,0,1,0,0
Control,2008,0,0,0,1,0
Nature,2008,0,0,0,1,0
Project,2008,0,0,1,0,0
Property,2008,0,0,1,0,0
Summit,2008,0,0,0,1,0
Transition,2008,0,0,0,1,0
Site,2008,0,0,1,0,0
Matrix,2008,0,0,0,1,0
Monitor,2008,0,1,0,0,0
Flood,2009,0,0,0,1,0
Picture a Mirror,2009,0,0,0,1,0
Matter,2009,0,0,0,1,0
Play,2009,0,0,0,1,0
Race,2009,0,0,0,1,0
Condominium,2010,0,0,1,0,0
The English House,2010,0,0,1,0,0
Green Zone,2010,0,0,0,1,0
SuperVision,2010,0,0,0,1,0
China Halo,2010,0,0,0,1,0
Crossover,2010,0,0,0,1,0
Premises (in Red),2010,0,0,0,1,0
One Brilliant Complex,2011,0,0,0,1,0
The Approach,2011,0,0,0,1,0
Double Standard,2012,1,0,0,0,0
Plot Ratio,2012,0,0,0,1,0
Synchronicity,2012,0,0,0,1,0
Costa Blanca,2012,1,0,0,0,0
Flatland,2012,0,0,0,1,0
Hotel Opportunity,2012,0,0,0,1,0
Mission Interlude,2012,0,0,1,0,0
Multi Story Building,2012,1,0,0,0,0
Timeport,2012,0,0,0,1,0
Hollywood,2013,0,1,0,0,0
Megalopolis,2013,0,0,0,1,0
Paramount,2013,0,1,0,0,0
Thriller,2013,0,1,0,0,0
Capital no Capital,2013,0,0,0,1,0
California,2013,0,1,0,0,0
Levante,2013,1,0,0,0,0
Propitious Grounds,2013,0,0,0,1,0
The Strip,2013,0,1,0,0,0
Treasure Gathering Square,2013,0,0,0,1,0
The Crossroads,2014,0,0,0,1,0
The Deal,2015,0,0,0,1,0
Panacea,2015,0,0,0,1,0
Wonderland,2015,0,0,0,1,0
Momentum,2016,0,0,0,1,0
The Next Level,2016,0,0,0,1,0
UN,2016,0,0,0,1,0
Entr'acte,2016,0,0,0,1,0
Performance,2017,0,0,0,1,0
The Valley Continuum,2018,1,0,0,0,0
,,,,,,
