Name;Year;Control;Power;Consuming;Knowledge;Information;Surveillance;Security;Money Wealth;Change;Progress;Community;Empowerment;Decoration;Escape;Symbolism;Globalisation;Mobility;Visibility;Fun
Neighbourhood;2000;0,5;0;0;0;0;0;0,5;0,5;0;0,3;0,3;0;0;0;0;0;0,6;0,6;0
Spot;2000;0;0,7;0,4;0;0;0;0;1;0;0;0;0;0,3;0,7;0;0;0;0,8;0,5
Capital;2000;0;1;0,6;0;0,7;0;0;1;1;0,5;0;0;0,7;0;0,4;0,5;0,5;1;0,5
Parallel;2000;0,7;0;0;0;0;0;1;0;1;0,7;0,7;0;0;0;0;0;0;0,4;0
Exit;2001;0,5;0;0;0;0;0;1;0;0;0;0;0;0;0,6;0;0;0;0;0
Ground;2001;0;0;0;0,5;0;0;0;0;0;0;0,3;0;0;1;0;0;0;0;0,5
Passing;2001;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;1;0;0
Setting;2001;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Still;2001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Building;2001;0;0;1;0;0,5;0;0;0,7;0,3;0,2;0;0;0,4;0;0;0;0;1;0
Expo;2001;0;0;0;0;0;0;0;0,6;0;0;0,6;0,5;0,7;0;0;0;0;0,8;0,4
Flux;2001;0,2;0;1;0;1;0;0;0,7;0,2;0,2;0,2;0;0;0;0;0;0;0,3;0
Intersection;2001;0,7;0;0;0;0;0;1;0;0;0;0;0;0,7;0;0;0;1;0,6;0
Two Sixty Four;2001;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Domicile;2002;0;0;0;0;0;0;0;0;0,3;0;0;0,5;0,7;0;0;0;0;1;0,1
Park ;2002;1;0;0;0;0;0;1;0;0;0;0,5;0,2;0;0;0;1;1;0,6;0
Gate;2002;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0,6;1;0;0
Mezzanine;2002;1;0;0,4;0;0,5;1;1;0;0;0,2;0;0;0,5;0;0;0;1;1;0,7
Quarter;2002;0;0;0;0;0;0;0,3;0,5;0;0,7;0,5;0;0;0;1;0;0;1;0
Terrace;2002;0;0,5;0,3;0;0;0;0;0,7;0;0,1;0;0;0;0;0;0;0;0;0
Tube;2002;0,3;0;0;0;0;1;1;0;0;0,5;0;0,5;0,6;0,2;0;0;1;0,5;0
Intermezzo;2003;1;0;0;0;0;0;1;0;0;0;0;0;0,5;0;0;0;1;0;0
Info;2003;0;0;0;0;1;0;0,5;0;0;0,5;0,5;1;0,3;0;0;0;0,5;0,7;0
Tour;2003;0;0;0;0;0;0;0;0;0;0,5;1;0;0;0,5;0;0,8;1;0,5;0
Midi;2003;0,4;0;0;0;0;0;0,3;0;0;0;0,5;0;0;0;0;1;1;0;0
Lille;2003;0,4;0;0;0;0;0;0,3;0;0;0;0,5;0;0;0;0;1;1;0,5;0
Metro;2003;0,7;0;0;0;0;0,4;1;0;0;0;0;0;0;1;0;0;1;0;0
Etage;2003;0,5;0;0;0;0;0;0,5;0;0;0;0,5;0;0;0,5;0;0;1;0;0
Platform;2003;0;1;0;0;1;0;0;0;1;1;0,8;0;0;0;0,7;1;1;1;0
Habitat;2003;0;0;0;0;1;0;0;0;0;1;1;0;0,7;0;1;0;0;0;0
Annex;2003;1;1;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0
Column;2003;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0,5;0
Crop;2003;0;0;0;1;1;0;0;0;0;0;0;0;0,5;0;0;0;0;1;0,5
Focus;2003;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0
Grid;2003;0;0;0,7;0;0;0;0,7;0;1;0;1;0;0;0;0;0;0;0;0
Lobby;2003;1;0;0;0;0;0;1;0;0;0;0;0;0,5;0;0;0;1;0;0
Model;2003;1;1;0;0;0;0,5;0,5;0;1;0;1;0;0;0;1;0;0;0;0
Plateau;2003;1;1;0;0;1;0;0;0;1;1;1;1;0;0;1;0;1;1;0
Prospect;2004;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0,5;0;0;0,8;0
Nexus;2004;0;0;0;1;1;0;0;0;0;1;1;1;0,5;0;0,5;0;0;1;0
Level;2004;0,5;0;0;1;1;0;0;0;0;1;0;1;0,8;0,5;0,8;0;0;1;0,2
Gazette;2004;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0,3;0;0;0,5;0
Plan;2004;1;0,3;0;0;0,3;0,5;1;0;0;0;0;1;0;0;0;0;0;0;0
Frame;2004;1;0;0;0;0;0,5;0,5;0;0;0;0;0;0,5;0;0,3;0;0;1;0
Section;2004;0,5;0;0;0;0;0,5;0,5;0;0;0;0;0;0,5;0;0,3;0;0;1;0
Facet;2004;0;0;0;1;1;0;0;0;0;1;1;0;0,5;0;0,7;0;0;1;0
Class;2004;0,3;0,6;0;1;1;0;0;0,2;0;1;0,4;1;0;0;0;0;0;0;0,2
Panorama;2004;0,3;0,8;0,4;0;0;0;0,5;0,7;0;0,3;0,3;0;0;0;0;0;0;1;0
Sequence;2004;0;0;0,4;0;0;0;0;0;0,5;0,3;0;0;0;0;0;0;0;0;0
Palace;2004;1;1;0;0;1;1;0,7;0;0;0;0;0;0;0;1;0;0;1;0
Link;2004;1;0;0,5;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0,2;0
Gallery;2004;0,3;0,4;0,4;0;0;0,5;0,8;0,7;0;0,3;0,3;0;0;0;0;0;0;0,7;0
Front;2004;0;0;0;0;0;0;0;0;0,5;0,3;0;0;0;0;0;0;0;0;0
Canvas;2004;0,7;0;0;0;0;0;1;0,8;0;0,3;0;0;0;0;0;0;0;0,5;0
Match;2004;0;0;1;0;0;0;0;1;0;0;0,3;0;0;1;0;0;0;0;1
Scene;2004;0;0,3;0,5;0;0;0;0;0,8;0;0;0;0;0;0;0;0,5;1;0;0
Module;2004;0,2;0;0;0;0;0;0,5;0;0;0;1;0;0;0;0;0;0;0;0
Zone;2004;0,5;0;0;0;0;0,5;0,5;0;0;0;1;0;0;0;0;0;0;0;0
Loop;2005;0,5;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0,2;0
Enterprise;2005;0;0,4;1;0;0,5;0;0;0,8;0;0,3;0,2;0;0;0,3;0,3;0,1;0;0,8;0
Display;2005;0,5;0,5;0,8;0;0;0,5;0;0,8;0;0;0;0,2;0;0,2;0,5;0,5;1;0,8;0
Enclave;2005;0;0;0;1;0;0;0;0;0,5;0;0,8;0,8;0,8;0,8;1;0;0;0,5;0,5
Domain;2005;0;0;0;0;0,5;0;0,5;0;0,5;0;0;0;0,5;0;0;0;0;0,5;0,3
Room;2005;0;0,4;0;0;0;0;0;0;0;0,4;0,6;0;0,5;0,5;0;0;0;0,8;0,8
Core;2005;0;0;0;0;0;0;0;0;0;0,5;0,6;0;0,5;0,5;0;0;0;0,8;0,8
Palette;2005;0;0;0;0;0;0;0;0;0;0,4;0,6;0;0,5;0,5;0;0;0;0,8;0,5
Queue;2005;0;0,3;0;0;0;0;0;0;0;0,5;0,5;0;0,3;0;0,2;0;0,5;1;0
Unit;2005;0,5;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0,3;0;0
Reservoir;2005;0,8;0;0,5;0,5;0,8;0;0;0;0;0;0,3;0;0,5;0,5;0,5;0;0;0,5;0,5
Image;2005;0;0,7;0;0;0,5;0;0;0;0;0,7;0;0;0,8;0;0;0;0;0,8;0,4
Regime;2005;0,8;0,6;0;0;0;0;0,8;0;0;0;0,8;0,3;1;0;0,5;0;0;0,5;0
Border;2005;0;0;0,5;0;0;0;0,5;0;0;0,7;0,7;0;0,8;0;1;0;0;0,7;0
Storey;2005;0;0;0;0;0,5;0;0;0;0;1;0;0,5;0,5;0;0,3;0;0;1;0,5
Circle;2006;0,5;0,5;0;0,5;0;0,3;0,5;0;0;0;0;0;0,3;0;0,3;0;0;0;0
Memo;2006;0,5;0;0;0;0,7;0;0;0;0;0,3;0;0,3;0,2;0;0,5;0;0;0,5;0
Contact;2006;0,5;0,5;0;0;0;0,5;0,7;0;0;0;0,2;0,4;0;0;0;0;0,3;0;0
Collage;2006;0;0;0,5;0;0,3;0;0;0;0;0;0;0;0,5;0;0,3;0;0;0,5;0
Filter;2006;0;0,3;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0,5;0
Corner;2006;0,5;0;0;0;0;0;0,5;0;0;0;0;0,3;0,5;0;0;0,3;0;0,2;0
Bloom;2006;0;0;0;0;0;0;0;0;0;0;0,3;0,3;1;0;0,8;0;0;0,9;0,2
Fringe;2006;0,5;0;0,2;0;0,1;0;0;0,3;0,1;0;0;0;0;0;0;0,3;0;0,3;0
Array;2006;0;0;0;0;0;0;0,2;0;0;0;0;0;0,6;0;0;0;0;0,7;0,7
Cycle;2006;1;0;0,3;0;0;0,2;0,6;0;0;0,7;0;0,4;0;0;0,2;0,6;1;0,5;0
Interlude;2006;0,8;0,8;0,6;0;0,5;0;0;0;0;1;0;0,7;0,8;0;0,4;0,6;0;0,8;0
Studio;2006;1;0;0;0;0;0,8;1;0;0;0,5;0,2;0;1;0;0,6;0,4;0;0,8;0
Arcade;2006;1;0,5;1;0;0,5;0,7;0;1;0;0,3;0,3;0;0,5;0;0,5;0,8;0;1;0,3
Mirage;2006;0,1;1;0,8;0;1;0;0;0,5;0;0;0;0;0,8;0,5;0,8;1;0;1;1
Sector;2006;0,5;0,5;0;0,5;0;0,3;0,5;0;0;0;0;0;0,3;0;0,3;0;0;0;0
Entrance;2006;0;0;0;0;0;0;0;0,5;0;0;0;0;0,8;0;0;0;0;0,5;0,3
Square;2006;1;0;0;0;0;0;1;0;0;0;0;0,5;0,7;0;0;0;1;0,8;0
Screen;2006;0;1;0;0;0;0;0;0;0;0;0;0,5;0,5;0,8;0,2;0;0;0,4;0,8
Network;2006;0;0;0;0;0;0,5;0;0;0;0;0;0;0,2;0,3;0,2;0;0,5;0,5;0
Presence;2006;0,2;0;0;0;0,2;0;0,2;0;0;0;0;0;0;0;0;0;0;0,1;0
Exposure;2007;0;0;0;0,5;0;0;0;0;1;1;0;0,5;0;0,5;0;0;0,2;1;0,5
Base;2007;0,3;0;0,4;0;0;0;0;0;0;0;1;0,5;0;0,7;0;0,3;0;0,7;0,7
Center;2007;0,8;0,8;0;0;1;0,5;0;0;0;0;0,3;0;0;0;0;0;0;0;0
Access;2007;0,3;0;0;0;0;0;0;0,3;0;0,4;0,1;0;0;0;0;0,2;1;0;0
Aperture;2007;0,5;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0,5;0;0
Detail;2007;1;0,6;0;0,5;0;0;0;0;0;0;0;0;1;0,7;1;0;0;1;0,7
Dynasty;2007;0;0,5;0,6;0;0,5;0;0;1;0,5;0,5;0;0,4;1;0,5;1;0,8;0;1;0,2
Living;2007;0;0;0;0;0;0;0;0,6;0;0;0,2;0;0;0;0;0;0;0,7;0
Passage;2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;1;0;0
Bouquet;2008;0;0;0,9;0;0;0;0;0,5;0,5;0;0;0;1;0;1;0;0;1;1
Forum;2008;0;0,6;0,4;0,8;0;0;0;0;0;1;1;1;0,1;0,7;0,3;0,3;0;0,8;0,8
House;2008;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0,2;0
Territory;2008;0;0;0,4;0,8;1;0;0,3;0;0;0;0;0,4;0,5;0,3;0,3;0;0,3;0,1;0,8
Labyrinth;2008;0,2;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0,5;0
Cluster;2008;0,4;0;0;0;0;0;0,5;0,5;0;0;0,8;0;0;0;0;0,2;0,2;0,5;0
Atmosphere;2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0,8;0,4
Volume;2008;0,2;0;0;1;1;0;0;0;0;0;0;0,4;0,2;0,3;0,4;0;0;0,6;0,7
Support;2008;0,2;0;0;0;0;0;0,3;0;0;0;0;0;0,7;0;0;0;0;0,5;0
Junction;2008;0;0,5;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0,2;0,7;0,3;0
Spectrum;2008;0;0;0;0,8;0;0;0;0;0,5;0,5;0;0,4;0,4;0,3;0,6;0;0;1;0,4
Replica;2008;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0
Control;2008;1;1;0,4;1;1;0,5;1;0;0;0;0,5;0,7;0,4;0,5;0,8;0,4;0,8;0,8;0,8
Nature;2008;0;0;0;0;0,5;0;0;0;0;0;0,5;0,5;0,3;0;0,4;0;0;1;0,3
Project;2008;0,3;0;0,5;0;0,5;0;0;0;0,5;0,7;0,3;0;0;0;0;0;0;0;0
Property;2008;0;0;1;0;0;0;0,5;0,8;0;0,3;0,5;0;0,8;0;0,5;0;0;0,8;0
Summit;2008;0;0;1;0;0,5;0;0;0;0;0;0,5;0,5;0,8;1;1;0,4;0;0,5;1
Transition;2008;0,5;0;0,5;0;0;0;0,2;0;0;0;0;0;0;0;0;0;1;0;0
Site;2008;0,7;1;1;0;0;0;0;1;0;1;0,4;0;0;0;0,5;0,8;1;1;0
Matrix;2008;0,8;0,5;0,5;0;0;0,3;0;0,5;0;0,3;0;0;0;0;0;0,8;0,5;0;0
Monitor;2008;0,5;0;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;1;0,5
Flood;2009;0;0,5;0,5;0;1;0;0;0,4;0;0;0;0;0;0;0,8;0;0;1;0
Picture a Mirror;2009;0;0;0;0;0;0,2;0,2;0;0,3;0;0;0,3;1;0;0;0;0;0,5;0
Matter;2009;0,5;0,5;0,5;0;0;0;0;0,8;0;0,5;0,5;0;0;0;0;0,8;0,8;0,8;0
Play;2009;1;0;0;0;0;0;0;0;0;0,5;0;0,5;0;0;0,8;0;0;0;1
Race;2009;0,5;0;0,8;0;0;0;0;0,8;0;0;0,3;0,5;0;1;0;0,5;0,8;0,8;1
Condominium;2010;0;1;1;0;0,6;0;0;1;0,3;0,5;0,2;0,7;1;0;1;0,5;0;1;0
The English House;2010;0;0;0,5;0,3;0,5;0;0;0;0;0,5;0,6;0;0,7;0,8;1;0,5;0;0,5;1
Green Zone;2010;1;0;0,5;0;0;0;0;0;0;0,5;0,8;0,5;0;0,5;0,8;0;0;0;1
SuperVision;2010;1;0;0;0;0;0,8;1;0;0;0;1;0,5;0;0,2;0,2;0;0;0,6;0
China Halo;2010;0;1;0;0;0;0;0;0;0;0;0;0,6;1;0;1;1;0;1;1
Crossover;2010;0;0;1;0;0,5;0;0;0,3;0,3;0,5;0,7;0;0;0;0;0;0;0,3;0
Premises (in Red);2010;0;1;1;0;0,5;0;0;0,8;1;1;0,4;0;0,2;0;0,8;1;0;1;0
One Brilliant Complex;2011;1;0;1;0;0;0,5;0;0;0;0,2;0,8;0;1;0;0,7;0;0;0,5;0
The Approach;2011;1;0;0;0;0;0;0;0;0;0,3;0;0,3;0;0;0;0;1;0;0
Double Standard;2012;0;0;1;0;0;0;0;0,5;0;0;0;0;0,7;0,4;0,2;0,5;0;0;0
Plot Ratio;2012;0,5;0;1;0;0,5;0;0;0,3;0,3;0,3;0;0,6;0,2;0;0;0;0;0,5;0
Synchronicity;2012;0,5;0;0,5;0;0;0;0;0;0;0;0,8;0;0;0,8;0;1;0,8;0,8;0,8
Costa Blanca;2012;0;0;0,6;0;0,5;0;0;0,8;0;0,5;0;0;0;0;0,5;0,5;0;1;0
Flatland;2012;0;0,5;0;0;0;0;0;0;1;0;0,1;0;0;0;1;0;0;1;0,2
Hotel Opportunity;2012;0;0,5;1;0;0,8;0;0;1;0;0;0,1;0;0,4;0;0;0,8;0;1;0,3
Mission Interlude;2012;0,3;1;0,8;0;0;0;0;1;1;1;0,3;0,5;0,7;0,2;0,8;1;0;1;0,7
Multi Story Building;2012;0,3;0;0;0;0;0;0,3;0,2;0;0;0,5;0;0,2;0;0;0;0;0,1;0
Timeport;2012;0;0,4;0;0;0;0;0;0;0,5;0,5;0,2;0,5;1;0,7;0,5;0,5;0,5;0,8;1
Hollywood;2013;0;1;0;0;0,5;0;0;0;0;0;0,5;0;0,8;0,8;1;1;0;1;1
Megalopolis;2013;0;0,2;0;0;0;0;0;0,2;0;0,2;0,3;0;0;0;0;0,3;0;0;0
Paramount;2013;0,5;1;0;0;0;0;0;0;0;0;0;0,3;0,7;0;1;0;0;0,3;0
Thriller;2013;0;0;0;0;0;0;0;0;0;0;0;0;1;0,5;0,3;0;0;0,5;0,5
Capital no Capital;2013;1;1;0;0;0,5;0,5;0,3;0;0;0;0,8;0;0,5;0;1;0;0;1;0
California;2013;0,8;0;0,5;0;0;0;0;0;0;0;0;0;1;0,5;0,8;0;0;0,7;0,5
Levante;2013;0,3;0;0,8;0;0;0;0;0,4;0;0;0,2;0;0;0,7;0;1;0;0;1
Propitious Grounds;2013;0;0,1;0;0;0;0;0;0;0,3;0;0,7;0,5;0,5;0,5;1;0;0;0,3;0
The Strip;2013;0,3;0,5;0,8;0;0;0;0;1;0;0;0;0;0,7;0,7;0,5;0,5;1;1;1
Treasure Gathering Square;2013;0,5;0;1;0;0,2;0,5;0;0,5;0;0;0;0;0;0;0;1;0;1;0
The Crossroads;2014;1;1;0;0;1;1;1;0;1;1;1;1;0;0;1;1;0;1;0
The Deal;2015;1;0,3;0;0;0;0;0;0;1;0,5;0;0,2;0;0;0,8;0,5;1;0,2;0
Panacea;2015;0;0;0,8;0;0,2;0;0;0;0;0,2;0,2;0;0;0;0;0,3;0;1;0
Wonderland;2015;0;1;0;0;0;0;0;0,5;0;0,2;0;0;0,2;0;0,1;0,1;0;0,6;0
Momentum;2016;0,3;1;0;0,5;0,4;0;0;0;0,5;0,5;0,3;0,2;0,5;0;1;0,2;0;0,8;0,2
The Next Level;2016;0;0;0,7;0,1;0;0,3;0;0;0,3;0,3;0,1;0,2;0,1;1;0;1;0;0;1
UN;2016;0;0,2;0,7;0;0,2;0;0;0;0,2;0,3;0,2;0,1;0,5;0,3;0,3;0,4;0;0,6;1
Entr'acte;2016;1;1;0,8;0;0;1;1;0,7;1;0,8;1;0;0;0;1;0,8;1;0,8;0
Performance;2017;1;0;0;0;0;0,4;0;0;0;0;0,5;0;0;0;0;0;1;0,4;0
The Valley Continuum;2018;1;0;0;0,5;0,5;0,8;0;0;0,5;0,8;0,5;0;0;0;0;0,5;0,5;0,8;0,2
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
